Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
427.50,47.50,0.00,228.00,0.00,932.00,594.00,28.00,37.43
475.00,0.00,0.00,228.00,0.00,932.00,594.00,7.00,38.60
304.00,76.00,0.00,228.00,0.00,932.00,670.00,365.00,55.26
266.00,114.00,0.00,228.00,0.00,932.00,670.00,365.00,52.91
198.60,132.40,0.00,192.00,0.00,978.40,825.50,180.00,41.72
475.00,0.00,0.00,228.00,0.00,932.00,594.00,270.00,42.13
190.00,190.00,0.00,228.00,0.00,932.00,670.00,365.00,53.69
237.50,237.50,0.00,228.00,0.00,932.00,594.00,270.00,38.41
237.50,237.50,0.00,228.00,0.00,932.00,594.00,28.00,30.08
332.50,142.50,0.00,228.00,0.00,932.00,594.00,90.00,37.72
475.00,0.00,0.00,228.00,0.00,932.00,594.00,90.00,42.23
237.50,237.50,0.00,228.00,0.00,932.00,594.00,180.00,36.25
342.00,38.00,0.00,228.00,0.00,932.00,670.00,90.00,50.46
427.50,47.50,0.00,228.00,0.00,932.00,594.00,365.00,43.70
237.50,237.50,0.00,228.00,0.00,932.00,594.00,365.00,39.00
380.00,0.00,0.00,228.00,0.00,932.00,670.00,180.00,53.10
427.50,47.50,0.00,228.00,0.00,932.00,594.00,90.00,41.54
427.50,47.50,0.00,228.00,0.00,932.00,594.00,7.00,35.08
349.00,0.00,0.00,192.00,0.00,1047.00,806.90,3.00,15.05
380.00,95.00,0.00,228.00,0.00,932.00,594.00,180.00,40.76
237.50,237.50,0.00,228.00,0.00,932.00,594.00,7.00,26.26
380.00,95.00,0.00,228.00,0.00,932.00,594.00,7.00,32.82
332.50,142.50,0.00,228.00,0.00,932.00,594.00,180.00,39.78
190.00,190.00,0.00,228.00,0.00,932.00,670.00,180.00,46.93
237.50,237.50,0.00,228.00,0.00,932.00,594.00,90.00,33.12
304.00,76.00,0.00,228.00,0.00,932.00,670.00,90.00,49.19
139.60,209.40,0.00,192.00,0.00,1047.00,806.90,7.00,14.59
198.60,132.40,0.00,192.00,0.00,978.40,825.50,7.00,14.64
475.00,0.00,0.00,228.00,0.00,932.00,594.00,365.00,41.93
198.60,132.40,0.00,192.00,0.00,978.40,825.50,3.00,9.13
304.00,76.00,0.00,228.00,0.00,932.00,670.00,180.00,50.95
332.50,142.50,0.00,228.00,0.00,932.00,594.00,28.00,33.02
304.00,76.00,0.00,228.00,0.00,932.00,670.00,270.00,54.38
266.00,114.00,0.00,228.00,0.00,932.00,670.00,270.00,51.73
310.00,0.00,0.00,192.00,0.00,971.00,850.60,3.00,9.87
190.00,190.00,0.00,228.00,0.00,932.00,670.00,270.00,50.66
266.00,114.00,0.00,228.00,0.00,932.00,670.00,180.00,48.70
342.00,38.00,0.00,228.00,0.00,932.00,670.00,270.00,55.06
139.60,209.40,0.00,192.00,0.00,1047.00,806.90,360.00,44.70
332.50,142.50,0.00,228.00,0.00,932.00,594.00,7.00,30.28
190.00,190.00,0.00,228.00,0.00,932.00,670.00,28.00,40.86
485.00,0.00,0.00,146.00,0.00,1120.00,800.00,28.00,71.99
374.00,189.20,0.00,170.10,10.10,926.10,756.70,3.00,34.40
313.30,262.20,0.00,175.50,8.60,1046.90,611.80,3.00,28.80
425.00,106.30,0.00,153.50,16.50,852.10,887.10,3.00,33.40
425.00,106.30,0.00,151.40,18.60,936.00,803.70,3.00,36.30
375.00,93.80,0.00,126.60,23.40,852.10,992.60,3.00,29.00
475.00,118.80,0.00,181.10,8.90,852.10,781.50,3.00,37.80
469.00,117.20,0.00,137.80,32.20,852.10,840.50,3.00,40.20
425.00,106.30,0.00,153.50,16.50,852.10,887.10,3.00,33.40
388.60,97.10,0.00,157.90,12.10,852.10,925.70,3.00,28.10
531.30,0.00,0.00,141.80,28.20,852.10,893.70,3.00,41.30
425.00,106.30,0.00,153.50,16.50,852.10,887.10,3.00,33.40
318.80,212.50,0.00,155.70,14.30,852.10,880.40,3.00,25.20
401.80,94.70,0.00,147.40,11.40,946.80,852.10,3.00,41.10
362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
323.70,282.80,0.00,183.80,10.30,942.70,659.90,3.00,28.30
379.50,151.20,0.00,153.90,15.90,1134.30,605.00,3.00,28.60
362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
286.30,200.90,0.00,144.70,11.20,1004.60,803.70,3.00,24.40
362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
439.00,177.00,0.00,186.00,11.10,884.90,707.90,3.00,39.30
389.90,189.00,0.00,145.90,22.00,944.70,755.80,3.00,40.60
362.60,189.00,0.00,164.90,11.60,944.70,755.80,3.00,35.30
337.90,189.00,0.00,174.90,9.50,944.70,755.80,3.00,24.10
374.00,189.20,0.00,170.10,10.10,926.10,756.70,7.00,46.20
313.30,262.20,0.00,175.50,8.60,1046.90,611.80,7.00,42.80
425.00,106.30,0.00,153.50,16.50,852.10,887.10,7.00,49.20
425.00,106.30,0.00,151.40,18.60,936.00,803.70,7.00,46.80
375.00,93.80,0.00,126.60,23.40,852.10,992.60,7.00,45.70
475.00,118.80,0.00,181.10,8.90,852.10,781.50,7.00,55.60
469.00,117.20,0.00,137.80,32.20,852.10,840.50,7.00,54.90
425.00,106.30,0.00,153.50,16.50,852.10,887.10,7.00,49.20
388.60,97.10,0.00,157.90,12.10,852.10,925.70,7.00,34.90
531.30,0.00,0.00,141.80,28.20,852.10,893.70,7.00,46.90
425.00,106.30,0.00,153.50,16.50,852.10,887.10,7.00,49.20
318.80,212.50,0.00,155.70,14.30,852.10,880.40,7.00,33.40
401.80,94.70,0.00,147.40,11.40,946.80,852.10,7.00,54.10
362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,55.90
323.70,282.80,0.00,183.80,10.30,942.70,659.90,7.00,49.80
379.50,151.20,0.00,153.90,15.90,1134.30,605.00,7.00,47.10
362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,55.90
286.30,200.90,0.00,144.70,11.20,1004.60,803.70,7.00,38.00
362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,55.90
439.00,177.00,0.00,186.00,11.10,884.90,707.90,7.00,56.10
389.90,189.00,0.00,145.90,22.00,944.70,755.80,7.00,59.09
362.60,189.00,0.00,164.90,11.60,944.70,755.80,7.00,22.90
337.90,189.00,0.00,174.90,9.50,944.70,755.80,7.00,35.10
374.00,189.20,0.00,170.10,10.10,926.10,756.70,28.00,61.09
313.30,262.20,0.00,175.50,8.60,1046.90,611.80,28.00,59.80
425.00,106.30,0.00,153.50,16.50,852.10,887.10,28.00,60.29
425.00,106.30,0.00,151.40,18.60,936.00,803.70,28.00,61.80
375.00,93.80,0.00,126.60,23.40,852.10,992.60,28.00,56.70
475.00,118.80,0.00,181.10,8.90,852.10,781.50,28.00,68.30
469.00,117.20,0.00,137.80,32.20,852.10,840.50,28.00,66.90
425.00,106.30,0.00,153.50,16.50,852.10,887.10,28.00,60.29
388.60,97.10,0.00,157.90,12.10,852.10,925.70,28.00,50.70
531.30,0.00,0.00,141.80,28.20,852.10,893.70,28.00,56.40
425.00,106.30,0.00,153.50,16.50,852.10,887.10,28.00,60.29
318.80,212.50,0.00,155.70,14.30,852.10,880.40,28.00,55.50
401.80,94.70,0.00,147.40,11.40,946.80,852.10,28.00,68.50
362.60,189.00,0.00,164.90,11.60,944.70,755.80,28.00,71.30
323.70,282.80,0.00,183.80,10.30,942.70,659.90,28.00,74.70
379.50,151.20,0.00,153.90,15.90,1134.30,605.00,28.00,52.20
362.60,189.00,0.00,164.90,11.60,944.70,755.80,28.00,71.30
286.30,200.90,0.00,144.70,11.20,1004.60,803.70,28.00,67.70
362.60,189.00,0.00,164.90,11.60,944.70,755.80,28.00,71.30
439.00,177.00,0.00,186.00,11.10,884.90,707.90,28.00,66.00
389.90,189.00,0.00,145.90,22.00,944.70,755.80,28.00,74.50
362.60,189.00,0.00,164.90,11.60,944.70,755.80,28.00,71.30
337.90,189.00,0.00,174.90,9.50,944.70,755.80,28.00,49.90
374.00,189.20,0.00,170.10,10.10,926.10,756.70,56.00,63.40
313.30,262.20,0.00,175.50,8.60,1046.90,611.80,56.00,64.90
425.00,106.30,0.00,153.50,16.50,852.10,887.10,56.00,64.30
425.00,106.30,0.00,151.40,18.60,936.00,803.70,56.00,64.90
375.00,93.80,0.00,126.60,23.40,852.10,992.60,56.00,60.20
475.00,118.80,0.00,181.10,8.90,852.10,781.50,56.00,72.30
469.00,117.20,0.00,137.80,32.20,852.10,840.50,56.00,69.30
425.00,106.30,0.00,153.50,16.50,852.10,887.10,56.00,64.30
388.60,97.10,0.00,157.90,12.10,852.10,925.70,56.00,55.20
531.30,0.00,0.00,141.80,28.20,852.10,893.70,56.00,58.80
425.00,106.30,0.00,153.50,16.50,852.10,887.10,56.00,64.30
318.80,212.50,0.00,155.70,14.30,852.10,880.40,56.00,66.10
401.80,94.70,0.00,147.40,11.40,946.80,852.10,56.00,73.70
362.60,189.00,0.00,164.90,11.60,944.70,755.80,56.00,77.30
323.70,282.80,0.00,183.80,10.30,942.70,659.90,56.00,80.20
379.50,151.20,0.00,153.90,15.90,1134.30,605.00,56.00,54.90
362.60,189.00,0.00,164.90,11.60,944.70,755.80,56.00,77.30
286.30,200.90,0.00,144.70,11.20,1004.60,803.70,56.00,72.99
362.60,189.00,0.00,164.90,11.60,944.70,755.80,56.00,77.30
439.00,177.00,0.00,186.00,11.10,884.90,707.90,56.00,71.70
389.90,189.00,0.00,145.90,22.00,944.70,755.80,56.00,79.40
362.60,189.00,0.00,164.90,11.60,944.70,755.80,56.00,77.30
337.90,189.00,0.00,174.90,9.50,944.70,755.80,56.00,59.89
374.00,189.20,0.00,170.10,10.10,926.10,756.70,91.00,64.90
313.30,262.20,0.00,175.50,8.60,1046.90,611.80,91.00,66.60
425.00,106.30,0.00,153.50,16.50,852.10,887.10,91.00,65.20
425.00,106.30,0.00,151.40,18.60,936.00,803.70,91.00,66.70
375.00,93.80,0.00,126.60,23.40,852.10,992.60,91.00,62.50
475.00,118.80,0.00,181.10,8.90,852.10,781.50,91.00,74.19
469.00,117.20,0.00,137.80,32.20,852.10,840.50,91.00,70.70
425.00,106.30,0.00,153.50,16.50,852.10,887.10,91.00,65.20
388.60,97.10,0.00,157.90,12.10,852.10,925.70,91.00,57.60
531.30,0.00,0.00,141.80,28.20,852.10,893.70,91.00,59.20
425.00,106.30,0.00,153.50,16.50,852.10,887.10,91.00,65.20
318.80,212.50,0.00,155.70,14.30,852.10,880.40,91.00,68.10
401.80,94.70,0.00,147.40,11.40,946.80,852.10,91.00,75.50
362.60,189.00,0.00,164.90,11.60,944.70,755.80,91.00,79.30
379.50,151.20,0.00,153.90,15.90,1134.30,605.00,91.00,56.50
362.60,189.00,0.00,164.90,11.60,944.70,755.80,91.00,79.30
286.30,200.90,0.00,144.70,11.20,1004.60,803.70,91.00,76.80
362.60,189.00,0.00,164.90,11.60,944.70,755.80,91.00,79.30
439.00,177.00,0.00,186.00,11.10,884.90,707.90,91.00,73.30
389.90,189.00,0.00,145.90,22.00,944.70,755.80,91.00,82.60
362.60,189.00,0.00,164.90,11.60,944.70,755.80,91.00,79.30
337.90,189.00,0.00,174.90,9.50,944.70,755.80,91.00,67.80
222.36,0.00,96.67,189.29,4.46,967.08,870.32,3.00,11.58
222.36,0.00,96.67,189.29,4.46,967.08,870.32,14.00,24.45
222.36,0.00,96.67,189.29,4.46,967.08,870.32,28.00,24.89
222.36,0.00,96.67,189.29,4.46,967.08,870.32,56.00,29.45
222.36,0.00,96.67,189.29,4.46,967.08,870.32,100.00,40.71
233.81,0.00,94.58,197.89,4.57,947.04,852.16,3.00,10.38
233.81,0.00,94.58,197.89,4.57,947.04,852.16,14.00,22.14
233.81,0.00,94.58,197.89,4.57,947.04,852.16,28.00,22.84
233.81,0.00,94.58,197.89,4.57,947.04,852.16,56.00,27.66
233.81,0.00,94.58,197.89,4.57,947.04,852.16,100.00,34.56
194.68,0.00,100.52,165.62,7.48,1006.40,905.90,3.00,12.45
194.68,0.00,100.52,165.62,7.48,1006.40,905.90,14.00,24.99
194.68,0.00,100.52,165.62,7.48,1006.40,905.90,28.00,25.72
194.68,0.00,100.52,165.62,7.48,1006.40,905.90,56.00,33.96
194.68,0.00,100.52,165.62,7.48,1006.40,905.90,100.00,37.34
190.68,0.00,125.40,162.14,7.77,1090.00,804.01,3.00,15.04
190.68,0.00,125.40,162.14,7.77,1090.00,804.01,14.00,21.06
190.68,0.00,125.40,162.14,7.77,1090.00,804.01,28.00,26.40
190.68,0.00,125.40,162.14,7.77,1090.00,804.01,56.00,35.34
190.68,0.00,125.40,162.14,7.77,1090.00,804.01,100.00,40.57
212.07,0.00,121.62,180.31,5.69,1057.60,779.32,3.00,12.47
212.07,0.00,121.62,180.31,5.69,1057.60,779.32,14.00,20.92
212.07,0.00,121.62,180.31,5.69,1057.60,779.32,28.00,24.90
212.07,0.00,121.62,180.31,5.69,1057.60,779.32,56.00,34.20
212.07,0.00,121.62,180.31,5.69,1057.60,779.32,100.00,39.61
229.97,0.00,118.31,195.47,4.63,1029.40,758.59,3.00,10.03
229.97,0.00,118.31,195.47,4.63,1029.40,758.59,14.00,20.08
229.97,0.00,118.31,195.47,4.63,1029.40,758.59,28.00,24.48
229.97,0.00,118.31,195.47,4.63,1029.40,758.59,56.00,31.54
229.97,0.00,118.31,195.47,4.63,1029.40,758.59,100.00,35.34
190.34,0.00,125.18,161.85,9.88,1088.10,802.59,3.00,9.45
190.34,0.00,125.18,161.85,9.88,1088.10,802.59,14.00,22.72
190.34,0.00,125.18,161.85,9.88,1088.10,802.59,28.00,28.47
190.34,0.00,125.18,161.85,9.88,1088.10,802.59,56.00,38.56
190.34,0.00,125.18,161.85,9.88,1088.10,802.59,100.00,40.39
166.09,0.00,163.27,176.46,4.49,1058.60,780.09,3.00,10.76
166.09,0.00,163.27,176.46,4.49,1058.60,780.09,14.00,25.48
166.09,0.00,163.27,176.46,4.49,1058.60,780.09,28.00,21.54
166.09,0.00,163.27,176.46,4.49,1058.60,780.09,56.00,28.63
166.09,0.00,163.27,176.46,4.49,1058.60,780.09,100.00,33.54
167.95,42.08,163.83,121.75,5.72,1058.70,780.11,3.00,7.75
167.95,42.08,163.83,121.75,5.72,1058.70,780.11,14.00,17.82
167.95,42.08,163.83,121.75,5.72,1058.70,780.11,28.00,24.24
167.95,42.08,163.83,121.75,5.72,1058.70,780.11,56.00,32.85
167.95,42.08,163.83,121.75,5.72,1058.70,780.11,100.00,39.23
213.72,98.05,24.51,181.71,6.86,1065.80,785.38,3.00,18.00
213.72,98.05,24.51,181.71,6.86,1065.80,785.38,14.00,30.39
213.72,98.05,24.51,181.71,6.86,1065.80,785.38,28.00,45.71
213.72,98.05,24.51,181.71,6.86,1065.80,785.38,56.00,50.77
213.72,98.05,24.51,181.71,6.86,1065.80,785.38,100.00,53.90
213.76,98.06,24.52,181.74,6.65,1066.00,785.52,3.00,13.18
213.76,98.06,24.52,181.74,6.65,1066.00,785.52,14.00,17.84
213.76,98.06,24.52,181.74,6.65,1066.00,785.52,28.00,40.23
213.76,98.06,24.52,181.74,6.65,1066.00,785.52,56.00,47.13
213.76,98.06,24.52,181.74,6.65,1066.00,785.52,100.00,49.97
229.68,0.00,118.16,195.23,6.13,1028.10,757.63,3.00,13.36
229.68,0.00,118.16,195.23,6.13,1028.10,757.63,14.00,22.32
229.68,0.00,118.16,195.23,6.13,1028.10,757.63,28.00,24.54
229.68,0.00,118.16,195.23,6.13,1028.10,757.63,56.00,31.35
229.68,0.00,118.16,195.23,6.13,1028.10,757.63,100.00,40.86
238.05,0.00,94.11,186.66,7.00,949.91,847.01,3.00,19.93
238.05,0.00,94.11,186.66,7.00,949.91,847.01,14.00,25.69
238.05,0.00,94.11,186.66,7.00,949.91,847.01,28.00,30.23
238.05,0.00,94.11,186.66,7.00,949.91,847.01,56.00,39.59
238.05,0.00,94.11,186.66,7.00,949.91,847.01,100.00,44.30
250.00,0.00,95.69,187.42,5.53,956.86,861.17,3.00,13.82
250.00,0.00,95.69,187.42,5.53,956.86,861.17,14.00,24.92
250.00,0.00,95.69,187.42,5.53,956.86,861.17,28.00,29.22
250.00,0.00,95.69,187.42,5.53,956.86,861.17,56.00,38.33
250.00,0.00,95.69,187.42,5.53,956.86,861.17,100.00,42.35
212.52,0.00,100.37,159.32,8.71,1007.80,903.59,3.00,13.54
212.52,0.00,100.37,159.32,8.71,1007.80,903.59,14.00,26.31
212.52,0.00,100.37,159.32,8.71,1007.80,903.59,28.00,31.64
212.52,0.00,100.37,159.32,8.71,1007.80,903.59,56.00,42.55
212.52,0.00,100.37,159.32,8.71,1007.80,903.59,100.00,42.92
212.57,0.00,100.39,159.35,10.37,1003.80,903.79,3.00,13.33
212.57,0.00,100.39,159.35,10.37,1003.80,903.79,14.00,25.37
212.57,0.00,100.39,159.35,10.37,1003.80,903.79,28.00,37.40
212.57,0.00,100.39,159.35,10.37,1003.80,903.79,56.00,44.40
212.57,0.00,100.39,159.35,10.37,1003.80,903.79,100.00,47.74
212.00,0.00,124.78,159.00,7.84,1085.40,799.54,3.00,19.52
212.00,0.00,124.78,159.00,7.84,1085.40,799.54,14.00,31.35
212.00,0.00,124.78,159.00,7.84,1085.40,799.54,28.00,38.50
212.00,0.00,124.78,159.00,7.84,1085.40,799.54,56.00,45.08
212.00,0.00,124.78,159.00,7.84,1085.40,799.54,100.00,47.82
231.75,0.00,121.62,173.96,6.72,1056.40,778.45,3.00,15.44
231.75,0.00,121.62,173.96,6.72,1056.40,778.45,14.00,26.77
231.75,0.00,121.62,173.96,6.72,1056.40,778.45,28.00,33.73
231.75,0.00,121.62,173.96,6.72,1056.40,778.45,56.00,42.70
231.75,0.00,121.62,173.96,6.72,1056.40,778.45,100.00,45.84
251.37,0.00,118.27,188.45,5.75,1028.40,757.73,3.00,17.22
251.37,0.00,118.27,188.45,5.75,1028.40,757.73,14.00,29.93
251.37,0.00,118.27,188.45,5.75,1028.40,757.73,28.00,29.65
251.37,0.00,118.27,188.45,5.75,1028.40,757.73,56.00,36.97
251.37,0.00,118.27,188.45,5.75,1028.40,757.73,100.00,43.58
251.37,0.00,118.27,188.45,6.35,1028.40,757.73,3.00,13.12
251.37,0.00,118.27,188.45,6.35,1028.40,757.73,14.00,24.43
251.37,0.00,118.27,188.45,6.35,1028.40,757.73,28.00,32.66
251.37,0.00,118.27,188.45,6.35,1028.40,757.73,56.00,36.64
251.37,0.00,118.27,188.45,6.35,1028.40,757.73,100.00,44.21
181.38,0.00,167.01,169.59,7.56,1055.60,777.80,3.00,13.62
181.38,0.00,167.01,169.59,7.56,1055.60,777.80,14.00,21.60
181.38,0.00,167.01,169.59,7.56,1055.60,777.80,28.00,27.77
181.38,0.00,167.01,169.59,7.56,1055.60,777.80,56.00,35.57
181.38,0.00,167.01,169.59,7.56,1055.60,777.80,100.00,45.37
182.04,45.21,121.97,170.21,8.19,1059.40,780.65,3.00,7.32
182.04,45.21,121.97,170.21,8.19,1059.40,780.65,14.00,21.50
182.04,45.21,121.97,170.21,8.19,1059.40,780.65,28.00,31.27
182.04,45.21,121.97,170.21,8.19,1059.40,780.65,56.00,43.50
182.04,45.21,121.97,170.21,8.19,1059.40,780.65,100.00,48.67
168.88,42.22,124.25,158.33,10.83,1080.80,796.15,3.00,7.40
168.88,42.22,124.25,158.33,10.83,1080.80,796.15,14.00,23.51
168.88,42.22,124.25,158.33,10.83,1080.80,796.15,28.00,31.12
168.88,42.22,124.25,158.33,10.83,1080.80,796.15,56.00,39.15
168.88,42.22,124.25,158.33,10.83,1080.80,796.15,100.00,48.15
290.35,0.00,96.18,168.08,9.41,961.18,865.00,3.00,22.50
290.35,0.00,96.18,168.08,9.41,961.18,865.00,14.00,34.67
290.35,0.00,96.18,168.08,9.41,961.18,865.00,28.00,34.74
290.35,0.00,96.18,168.08,9.41,961.18,865.00,56.00,45.08
290.35,0.00,96.18,168.08,9.41,961.18,865.00,100.00,48.97
277.05,0.00,97.39,160.60,11.83,973.90,875.61,3.00,23.14
277.05,0.00,97.39,160.60,11.83,973.90,875.61,14.00,41.89
277.05,0.00,97.39,160.60,11.83,973.90,875.61,28.00,48.28
277.05,0.00,97.39,160.60,11.83,973.90,875.61,56.00,51.04
277.05,0.00,97.39,160.60,11.83,973.90,875.61,100.00,55.64
295.71,0.00,95.64,171.54,8.87,955.14,859.20,3.00,22.95
295.71,0.00,95.64,171.54,8.87,955.14,859.20,14.00,35.23
295.71,0.00,95.64,171.54,8.87,955.14,859.20,28.00,39.94
295.71,0.00,95.64,171.54,8.87,955.14,859.20,56.00,48.72
295.71,0.00,95.64,171.54,8.87,955.14,859.20,100.00,52.04
251.81,0.00,99.94,146.14,12.35,1006.00,899.76,3.00,21.02
251.81,0.00,99.94,146.14,12.35,1006.00,899.76,14.00,33.36
251.81,0.00,99.94,146.14,12.35,1006.00,899.76,28.00,33.94
251.81,0.00,99.94,146.14,12.35,1006.00,899.76,56.00,44.14
251.81,0.00,99.94,146.14,12.35,1006.00,899.76,100.00,45.37
249.10,0.00,98.75,158.11,12.80,987.76,889.01,3.00,15.36
249.10,0.00,98.75,158.11,12.80,987.76,889.01,14.00,28.68
249.10,0.00,98.75,158.11,12.80,987.76,889.01,28.00,30.85
249.10,0.00,98.75,158.11,12.80,987.76,889.01,56.00,42.03
249.10,0.00,98.75,158.11,12.80,987.76,889.01,100.00,51.06
252.31,0.00,98.75,146.25,14.17,987.76,889.01,3.00,21.78
252.31,0.00,98.75,146.25,14.17,987.76,889.01,14.00,42.29
252.31,0.00,98.75,146.25,14.17,987.76,889.01,28.00,50.60
252.31,0.00,98.75,146.25,14.17,987.76,889.01,56.00,55.83
252.31,0.00,98.75,146.25,14.17,987.76,889.01,100.00,60.95
246.83,0.00,125.08,143.30,11.99,1086.80,800.89,3.00,23.52
246.83,0.00,125.08,143.30,11.99,1086.80,800.89,14.00,42.22
246.83,0.00,125.08,143.30,11.99,1086.80,800.89,28.00,52.50
246.83,0.00,125.08,143.30,11.99,1086.80,800.89,56.00,60.32
246.83,0.00,125.08,143.30,11.99,1086.80,800.89,100.00,66.42
275.07,0.00,121.35,159.48,9.90,1053.60,777.50,3.00,23.80
275.07,0.00,121.35,159.48,9.90,1053.60,777.50,14.00,38.77
275.07,0.00,121.35,159.48,9.90,1053.60,777.50,28.00,51.33
275.07,0.00,121.35,159.48,9.90,1053.60,777.50,56.00,56.85
275.07,0.00,121.35,159.48,9.90,1053.60,777.50,100.00,58.61
297.16,0.00,117.54,174.80,9.52,1022.80,753.45,3.00,21.91
297.16,0.00,117.54,174.80,9.52,1022.80,753.45,14.00,36.99
297.16,0.00,117.54,174.80,9.52,1022.80,753.45,28.00,47.40
297.16,0.00,117.54,174.80,9.52,1022.80,753.45,56.00,51.96
297.16,0.00,117.54,174.80,9.52,1022.80,753.45,100.00,56.74
213.74,0.00,174.74,154.79,10.16,1053.50,776.35,3.00,17.57
213.74,0.00,174.74,154.79,10.16,1053.50,776.35,14.00,33.73
213.74,0.00,174.74,154.79,10.16,1053.50,776.35,28.00,40.15
213.74,0.00,174.74,154.79,10.16,1053.50,776.35,56.00,46.64
213.74,0.00,174.74,154.79,10.16,1053.50,776.35,100.00,50.08
213.50,0.00,174.24,154.61,11.66,1052.30,775.48,3.00,17.37
213.50,0.00,174.24,154.61,11.66,1052.30,775.48,14.00,33.70
213.50,0.00,174.24,154.61,11.66,1052.30,775.48,28.00,45.94
213.50,0.00,174.24,154.61,11.66,1052.30,775.48,56.00,51.43
213.50,0.00,174.24,154.61,11.66,1052.30,775.48,100.00,59.30
277.19,97.82,24.46,160.70,11.19,1061.70,782.46,3.00,30.45
277.19,97.82,24.46,160.70,11.19,1061.70,782.46,14.00,47.71
277.19,97.82,24.46,160.70,11.19,1061.70,782.46,28.00,63.14
277.19,97.82,24.46,160.70,11.19,1061.70,782.46,56.00,66.82
277.19,97.82,24.46,160.70,11.19,1061.70,782.46,100.00,66.95
218.23,54.64,123.78,140.75,11.91,1075.70,792.67,3.00,27.42
218.23,54.64,123.78,140.75,11.91,1075.70,792.67,14.00,35.96
218.23,54.64,123.78,140.75,11.91,1075.70,792.67,28.00,55.51
218.23,54.64,123.78,140.75,11.91,1075.70,792.67,56.00,61.99
218.23,54.64,123.78,140.75,11.91,1075.70,792.67,100.00,63.53
214.90,53.80,121.89,155.63,9.61,1014.30,780.58,3.00,18.02
214.90,53.80,121.89,155.63,9.61,1014.30,780.58,14.00,38.60
214.90,53.80,121.89,155.63,9.61,1014.30,780.58,28.00,52.20
214.90,53.80,121.89,155.63,9.61,1014.30,780.58,56.00,53.96
214.90,53.80,121.89,155.63,9.61,1014.30,780.58,100.00,56.63
218.85,0.00,124.13,158.49,11.33,1078.70,794.91,3.00,15.34
218.85,0.00,124.13,158.49,11.33,1078.70,794.91,14.00,26.05
218.85,0.00,124.13,158.49,11.33,1078.70,794.91,28.00,30.22
218.85,0.00,124.13,158.49,11.33,1078.70,794.91,56.00,37.27
